"['#Date/Time of Update: 2018-11-29 12:21:41 PM', '#Game ID', '#Game Date', '#Game Time', '#Away Team ID', '#Away Team Abbr.', '#Away Team City', '#Away Team Name', '#Home Team ID', '#Home Team Abbr.', '#Home Team City', '#Home Team Name', '#Location', '#Player ID', '#LastName', '#FirstName', '#Jersey Num', '#Position', '#Height', '#Weight', '#Birth Date', '#Age', '#Birth City', '#Birth Country', '#Rookie', '#Team ID', '#Team Abbr.', '#Team City', '#Team Name', '#PassAttempts', '#PassCompletions', '#PassPct', '#PassAttemptsPerGame', '#PassYards', '#PassYardsPerAtt', '#PassYardsPerGame', '#PassTD', '#PassTDPct', '#PassInt', '#PassIntPct', '#PassLng', '#PassAvg', '#Pass20Plus', '#Pass40Plus', '#PassSacks', '#PassSackY', '#QbRating', '#RushAttempts', '#RushAttemptsPerGame', '#RushYards', '#RushAverage', '#RushYardsPerGame', '#RushTD', '#RushLng', '#Rush1stDowns', '#Rush1stDownsPct', '#Rush20Plus', '#Rush40Plus', '#RushFumbles', '#Targets', '#Receptions', '#RecYards', '#RecAverage', '#RecYardsPerGame', '#RecTD', '#RecLng', '#Rec1stDowns', '#Rec20Plus', '#Rec40Plus', '#RecFumbles', '#TackleSolo', '#TackleTotal', '#TackleAst', '#Sacks', '#SackYds', '#TacklesForLoss', '#Interceptions', '#IntTD', '#IntYds', '#IntAverage', '#IntLng', '#PassesDefended', '#Stuffs', '#Safeties', '#StuffYds', '#Kb', '#Fumbles', '#FumLost', '#FumForced', '#FumOwnRec', '#FumOppRec', '#FumRecYds', '#FumTotalRec', '#FumTD', '#KrRet', '#KrYds', '#KrAvg', '#KrLng', '#KrTD', '#Kr20Plus', '#Kr40Plus', '#KrFC', '#KrFum', '#PrRet', '#PrYds', '#PrAvg', '#PrLng', '#PrTD', '#Pr20Plus', '#Pr40Plus', '#PrFC', '#PrFum', '#FgBlk', '#FgMade', '#FgAtt', '#FgPct', '#FgMade1_19', '#FgAtt1_19', '#Fg1_19Pct', '#FgMade20_29', '#FgAtt20_29', '#Fg20_29Pct', '#FgMade30_39', '#FgAtt30_39', '#Fg30_39Pct', '#FgMade40_49', '#FgAtt40_49', '#Fg40_49Pct', '#FgMade50Plus', '#FgAtt50Plus', '#Fg50PlusPct', '#FgLng', '#XpBlk', '#XpMade', '#XpAtt', '#XpPct', '#FgAndXpPts', '#KoPct', '#Kickoffs', '#KoYds', '#KoOOB', '#KoAvg', '#KoTB', '#KoRet', '#KoRetYds', '#KoRetAvgYds', '#KoTD', '#KoOS', '#KoOSR', '#Punts', '#PuntYds', '#PuntNetYds', '#PuntLng', '#PuntAvg', '#PuntNetAvg', '#PuntBlk', '#PuntOOB', '#PuntDown', '#PuntIn20', '#PuntIn20Pct', '#PuntTB', '#PuntTBPct', '#PuntFC', '#PuntRet', '#PuntRetYds', '#PuntRetAvg', '#TwoPtAtt', '#GamesStarted', '#TwoPtMade', '#TwoPtPassAtt', '#TwoPtPassMade', '#TwoPtPassRec', '#TwoPtRushAtt', '#TwoPtRushMade']"
"['', '40416', '2017-10-01', '1:00PM', '67', 'TEN', 'Tennessee', 'Titans', '64', 'HOU', 'Houston', 'Texans', 'NRG Stadium', '7311', 'Allen', 'Jeff', '71', 'T', '6\'4""', '306', '1990-01-08', '28', 'Chicago, IL', 'USA', 'N', '64', 'HOU', 'Houston', 'Texans', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '', '', '', '', '', '']"
"['', '40542', '2017-12-03', '1:00PM', '64', 'HOU', 'Houston', 'Texans', '67', 'TEN', 'Tennessee', 'Titans', 'Nissan Stadium', '7311', 'Allen', 'Jeff', '71', 'T', '6\'4""', '306', '1990-01-08', '28', 'Chicago, IL', 'USA', 'N', '64', 'HOU', 'Houston', 'Texans', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '', '', '', '', '', '']"
"['', '40575', '2017-12-17', '1:00PM', '64', 'HOU', 'Houston', 'Texans', '66', 'JAX', 'Jacksonville', 'Jaguars', 'EverBank Field', '7311', 'Allen', 'Jeff', '71', 'T', '6\'4""', '306', '1990-01-08', '28', 'Chicago, IL', 'USA', 'N', '64', 'HOU', 'Houston', 'Texans', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '', '', '', '', '', '']"
"['', '40371', '2017-09-10', '1:00PM', '66', 'JAX', 'Jacksonville', 'Jaguars', '64', 'HOU', 'Houston', 'Texans', 'NRG Stadium', '9881', 'Anderson', 'Stephen', '89', 'TE', '6\'2""', '230', '1993-01-29', '25', 'San Jose, CA', 'USA', 'N', '64', 'HOU', 'Houston', 'Texans', '0', '0', '0.0', '0.0', '0', '0.0', '0.0', '0', '0.0', '0', '0.0', '0', '0.0', '0', '0', '0', '0', '39.6', '0', '0.0', '0', '0.0', '0.0', '0', '0', '0', '0.0', '0', '0', '0', '5', '2', '14', '7.0', '14.0', '0', '11', '1', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0', '0', '0', '0', '0']"
"['', '40408', '2017-09-24', '1:00PM', '64', 'HOU', 'Houston', 'Texans', '50', 'NE', 'New England', 'Patriots', 'Gillette Stadium', '9881', 'Anderson', 'Stephen', '89', 'TE', '6\'2""', '230', '1993-01-29', '25', 'San Jose, CA', 'USA', 'N', '64', 'HOU', 'Houston', 'Texans', '0', '0', '0.0', '0.0', '0', '0.0', '0.0', '0', '0.0', '0', '0.0', '0', '0.0', '0', '0', '0', '0', '39.6', '0', '0.0', '0', '0.0', '0.0', '0', '0', '0', '0.0', '0', '0', '0', '3', '1', '14', '14.0', '14.0', '0', '14', '1', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0', '0', '0', '0', '0']"
"['', '40416', '2017-10-01', '1:00PM', '67', 'TEN', 'Tennessee', 'Titans', '64', 'HOU', 'Houston', 'Texans', 'NRG Stadium', '9881', 'Anderson', 'Stephen', '89', 'TE', '6\'2""', '230', '1993-01-29', '25', 'San Jose, CA', 'USA', 'N', '64', 'HOU', 'Houston', 'Texans', '0', '0', '0.0', '0.0', '0', '0.0', '0.0', '0', '0.0', '0', '0.0', '0', '0.0', '0', '0', '0', '0', '39.6', '0', '0.0', '0', '0.0', '0.0', '0', '0', '0', '0.0', '0', '0', '0', '2', '2', '28', '14.0', '28.0', '0', '17', '2', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0', '0', '0', '0', '0']"
"['', '40442', '2017-10-08', '8:30PM', '73', 'KC', 'Kansas City', 'Chiefs', '64', 'HOU', 'Houston', 'Texans', 'NRG Stadium', '9881', 'Anderson', 'Stephen', '89', 'TE', '6\'2""', '230', '1993-01-29', '25', 'San Jose, CA', 'USA', 'N', '64', 'HOU', 'Houston', 'Texans', '0', '0', '0.0', '0.0', '0', '0.0', '0.0', '0', '0.0', '0', '0.0', '0', '0.0', '0', '0', '0', '0', '39.6', '0', '0.0', '0', '0.0', '0.0', '0', '0', '0', '0.0', '0', '0', '0', '2', '2', '63', '31.5', '63.0', '0', '42', '2', '2', '1', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0', '0', '0', '0', '0']"
"['', '40446', '2017-10-15', '1:00PM', '58', 'CLE', 'Cleveland', 'Browns', '64', 'HOU', 'Houston', 'Texans', 'NRG Stadium', '9881', 'Anderson', 'Stephen', '89', 'TE', '6\'2""', '230', '1993-01-29', '25', 'San Jose, CA', 'USA', 'N', '64', 'HOU', 'Houston', 'Texans', '0', '0', '0.0', '0.0', '0', '0.0', '0.0', '0', '0.0', '0', '0.0', '0', '0.0', '0', '0', '0', '0', '39.6', '0', '0.0', '0', '0.0', '0.0', '0', '0', '0', '0.0', '0', '0', '0', '2', '2', '17', '8.5', '17.0', '0', '9', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0', '0', '0', '0', '0']"
"['', '40482', '2017-10-29', '4:05PM', '64', 'HOU', 'Houston', 'Texans', '79', 'SEA', 'Seattle', 'Seahawks', 'CenturyLink Field', '9881', 'Anderson', 'Stephen', '89', 'TE', '6\'2""', '230', '1993-01-29', '25', 'San Jose, CA', 'USA', 'N', '64', 'HOU', 'Houston', 'Texans', '0', '0', '0.0', '0.0', '0', '0.0', '0.0', '0', '0.0', '0', '0.0', '0', '0.0', '0', '0', '0', '0', '39.6', '0', '0.0', '0', '0.0', '0.0', '0', '0', '0', '0.0', '0', '0', '0', '2', '1', '11', '11.0', '11.0', '0', '11', '1', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0', '0', '0', '0', '0']"
"['', '40487', '2017-11-05', '1:00PM', '65', 'IND', 'Indianapolis', 'Colts', '64', 'HOU', 'Houston', 'Texans', 'NRG Stadium', '9881', 'Anderson', 'Stephen', '89', 'TE', '6\'2""', '230', '1993-01-29', '25', 'San Jose, CA', 'USA', 'N', '64', 'HOU', 'Houston', 'Texans', '0', '0', '0.0', '0.0', '0', '0.0', '0.0', '0', '0.0', '0', '0.0', '0', '0.0', '0', '0', '0', '0', '39.6', '0', '0.0', '0', '0.0', '0.0', '0', '0', '0', '0.0', '0', '0', '0', '6', '4', '44', '11.0', '44.0', '0', '16', '2', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '0', '0', '0', '0', '0', '0', '0', '0']"
